alice_bit,alice_basis,bob_basis,measured_bit
1,0,1,1
0,1,0,0
0,1,1,0
0,0,1,0
0,0,1,1
0,0,0,0
0,1,0,0
1,0,0,1
0,1,0,0
1,0,1,1
1,0,1,1
0,0,1,0
1,0,0,1
1,1,1,1
1,0,0,1
1,1,0,0
1,1,0,0
1,0,1,1
1,0,0,1
0,1,1,0
0,0,1,0
1,1,0,1
0,0,1,1
0,0,0,0
1,1,0,1
1,1,1,1
0,1,0,0
1,0,0,1
0,1,1,0
0,0,1,0
0,0,1,1
1,0,1,0
1,1,0,1
1,1,1,1
0,1,0,0
0,1,1,0
1,0,1,0
0,1,1,0
0,1,1,0
1,0,0,1
1,0,0,1
1,0,1,0
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0,1
0,0,1,1
0,0,0,0
1,0,0,1
1,1,1,1
0,0,1,1
1,0,1,0
0,0,0,0
1,1,0,0
1,1,1,1
0,0,1,0
1,0,0,1
0,0,0,0
1,1,1,1
1,0,0,1
1,0,1,1
1,1,0,0
1,0,1,1
0,0,1,0
0,0,0,0
1,1,0,0
1,0,0,1
0,0,0,0
1,1,1,1
0,1,0,1
1,1,1,1
0,1,0,0
1,1,0,1
0,1,1,0
1,1,1,1
1,0,1,1
0,1,1,0
1,1,1,1
0,0,1,0
0,1,0,0
1,0,0,1
1,1,0,1
1,1,0,1
0,1,0,0
1,1,0,1
1,0,1,0
1,1,1,1
0,1,1,0
0,1,0,1
0,1,1,0
0,1,1,0
1,1,0,0
0,1,1,0
0,1,0,1
1,0,1,0
0,0,0,0
0,0,0,0
1,0,1,0
1,1,1,1
0,1,0,0
