alice_bit,alice_basis,bob_basis,measured_bit,physical_qubit
1,0,0,1,90
0,0,1,0,90
0,0,1,0,90
1,0,1,0,90
1,0,0,1,90
1,1,1,1,90
0,0,0,0,90
1,0,1,1,90
0,0,1,0,90
1,0,0,1,90
0,0,0,0,90
0,0,0,0,90
0,1,1,0,90
0,0,0,0,90
0,1,0,1,90
0,1,0,0,90
1,0,1,1,90
0,1,0,1,90
1,1,1,1,90
1,0,0,0,90
1,1,0,1,90
0,0,1,1,90
0,1,0,0,90
1,0,0,1,90
1,1,0,0,90
1,0,0,1,90
1,1,1,1,90
0,1,0,0,90
0,0,0,0,90
1,1,0,1,90
1,0,0,1,90
1,1,1,1,90
1,0,0,1,90
0,1,0,0,90
1,1,1,1,90
0,1,0,0,90
1,1,1,1,90
1,1,0,0,90
0,1,0,0,90
1,0,0,1,90
0,1,0,1,90
1,0,1,0,90
1,1,0,0,90
0,1,0,1,90
1,1,0,1,90
1,0,1,1,90
0,0,0,0,90
0,0,1,1,90
0,1,1,0,90
1,1,0,0,90
1,0,1,0,90
0,1,0,1,90
1,1,1,1,90
1,1,1,1,90
1,0,0,1,90
0,0,1,1,90
1,0,1,1,90
0,0,1,0,90
1,0,1,0,90
0,0,1,1,90
1,1,1,1,90
0,0,0,0,90
1,1,0,1,90
0,1,0,0,90
0,0,0,0,90
0,0,1,1,90
1,0,0,1,90
0,1,1,0,90
1,0,0,1,90
1,0,0,1,90
1,0,1,0,90
0,0,0,0,90
0,0,0,0,90
1,0,1,0,90
0,0,1,1,90
1,1,1,1,90
1,1,0,0,90
0,1,0,0,90
0,1,0,1,90
0,0,1,0,90
0,0,0,0,90
0,0,0,0,90
1,1,0,0,90
1,1,0,1,90
1,1,1,1,90
1,0,0,1,90
1,1,0,0,90
0,0,0,0,90
0,1,0,0,90
1,0,1,0,90
1,0,1,1,90
1,1,0,1,90
0,0,0,0,90
0,0,0,0,90
0,0,0,0,90
0,0,1,1,90
1,1,0,0,90
0,0,0,0,90
0,1,0,1,90
0,0,0,0,90
1,1,0,1,90
1,0,0,0,90
0,1,1,0,90
0,1,0,1,90
0,0,1,1,90
1,0,0,1,90
1,0,0,1,90
0,0,0,0,90
0,0,1,0,90
1,0,0,1,90
0,1,1,0,90
1,1,1,1,90
1,0,1,1,90
0,1,1,0,90
1,0,0,1,90
1,0,1,1,90
1,1,1,1,90
1,0,0,1,90
1,1,1,1,90
1,1,0,1,90
0,0,0,0,90
1,0,1,1,90
1,1,0,0,90
0,0,1,0,90
0,1,0,0,90
1,0,0,0,90
1,0,0,1,90
1,0,0,1,90
1,0,1,1,90
0,1,1,0,90
1,0,1,1,90
0,0,1,1,90
0,0,1,0,90
0,1,0,1,90
0,0,0,1,90
1,1,1,1,90
1,1,1,1,90
0,0,0,0,90
0,0,0,0,90
0,1,0,1,90
0,1,0,1,90
0,0,1,1,90
1,1,0,0,90
1,1,1,1,90
0,1,1,0,90
1,0,0,1,90
0,1,0,0,90
1,1,1,1,90
0,1,0,0,90
0,0,1,0,90
0,0,0,0,90
1,0,0,1,90
0,0,0,0,90
1,1,0,1,90
1,1,0,0,90
0,0,1,0,90
0,0,1,1,90
1,1,1,1,90
1,0,0,1,90
0,0,1,1,90
0,0,0,0,90
0,0,1,1,90
0,0,1,0,90
1,1,1,1,90
0,1,0,1,90
1,0,1,0,90
0,0,0,1,90
1,0,0,1,90
0,0,0,0,90
1,0,0,1,90
0,1,0,1,90
0,1,0,0,90
1,1,0,1,90
0,0,0,0,90
0,0,1,0,90
1,1,1,1,90
0,1,0,0,90
1,0,0,1,90
1,1,1,1,90
0,0,1,0,90
1,0,1,0,90
0,0,1,1,90
0,1,0,1,90
1,1,0,1,90
1,0,1,0,90
0,0,1,0,90
1,0,0,1,90
0,0,1,0,90
0,0,0,0,90
1,0,0,1,90
0,1,0,1,90
0,1,1,0,90
0,1,1,0,90
1,1,1,1,90
0,0,1,0,90
0,1,1,0,90
1,1,1,1,90
0,0,1,1,90
0,0,0,0,90
0,0,0,0,90
0,0,0,0,90
0,0,0,0,90
0,0,0,0,90
1,0,1,0,90
1,1,1,0,90
0,1,0,1,90
0,1,1,0,90
0,0,0,0,90
1,1,1,1,90
0,1,0,1,90
0,1,1,0,90
1,1,1,1,90
1,0,1,0,90
1,1,0,0,90
0,1,1,0,90
1,1,0,1,90
1,1,1,1,90
0,0,0,0,90
0,0,1,1,90
0,1,0,1,90
0,1,0,0,90
0,1,1,0,90
0,0,0,0,90
0,0,0,0,90
0,1,0,0,90
1,0,1,1,90
0,0,1,0,90
1,1,0,0,90
1,1,0,1,90
1,0,0,1,90
0,1,0,0,90
1,0,0,0,90
0,1,0,1,90
0,1,0,0,90
0,1,1,0,90
0,1,1,0,90
0,0,0,0,90
0,0,0,0,90
1,1,0,1,90
0,0,1,0,90
0,0,1,1,90
1,0,0,1,90
1,0,1,0,90
0,1,0,1,90
1,0,1,0,90
0,0,0,0,90
0,1,1,0,90
0,1,0,1,90
0,1,0,0,90
0,0,1,1,90
1,1,0,0,90
1,1,1,1,90
0,0,0,0,90
0,0,0,0,90
1,0,0,1,90
1,0,1,1,90
1,0,1,1,90
0,0,0,0,90
0,0,1,0,90
1,0,0,1,90
0,0,1,1,90
1,0,1,0,90
0,1,1,0,90
1,0,0,1,90
1,0,0,1,90
0,0,1,0,90
0,0,1,1,90
0,0,0,0,90
0,0,0,0,90
1,0,0,1,90
1,1,0,0,90
0,0,1,1,90
1,0,0,1,90
0,1,0,0,90
0,0,0,0,90
0,0,0,0,90
1,1,1,1,90
0,1,0,0,90
1,1,0,0,90
1,0,1,1,90
1,1,0,0,90
0,0,0,0,90
0,0,1,1,90
1,0,0,1,90
0,1,1,0,90
1,0,1,0,90
1,1,0,0,90
1,0,1,0,90
1,0,1,0,90
0,1,0,0,90
1,0,1,1,90
0,1,1,0,90
0,0,0,0,90
1,1,1,1,90
0,1,0,1,90
1,0,1,0,90
0,0,0,0,90
1,1,0,1,90
0,1,0,0,90
0,0,0,0,90
1,0,0,1,90
0,1,0,0,90
0,0,1,1,90
1,1,1,0,90
1,1,1,1,90
0,0,1,0,90
1,0,0,0,90
1,1,0,0,90
0,1,0,1,90
0,0,1,1,90
1,1,0,0,90
1,1,0,1,90
0,1,0,1,90
0,0,1,0,90
1,1,0,1,90
1,0,1,0,90
1,0,0,1,90
0,1,0,1,90
1,0,1,1,90
0,1,1,0,90
0,1,0,1,90
0,1,0,1,90
0,0,0,0,90
1,1,0,0,90
1,1,0,0,90
1,0,1,1,90
0,1,1,0,90
0,0,0,0,90
1,0,1,1,90
1,0,1,0,90
1,0,0,0,90
1,0,0,1,90
1,0,0,1,90
0,0,1,1,90
0,1,0,0,90
0,0,1,0,90
0,0,1,0,90
0,0,0,0,90
0,1,1,0,90
0,1,1,0,90
1,1,1,1,90
0,1,1,0,90
0,0,1,0,90
1,1,0,0,90
0,1,1,0,90
1,1,0,0,90
0,0,1,1,90
1,1,0,0,90
0,0,1,1,90
1,0,1,0,90
1,1,1,1,90
0,1,1,0,90
0,0,0,0,90
0,0,1,0,90
0,0,0,0,90
0,1,1,0,90
0,0,0,0,90
0,0,0,0,90
1,0,1,1,90
1,1,1,1,90
1,1,1,1,90
0,1,0,1,90
1,1,0,0,90
1,0,1,0,90
1,0,1,1,90
1,0,1,0,90
0,1,0,1,90
1,0,0,1,90
0,0,0,0,90
1,1,1,1,90
0,0,1,0,90
1,0,1,1,90
0,1,0,1,90
0,1,0,1,90
1,0,1,1,90
0,1,0,0,90
1,1,1,1,90
0,0,0,0,90
1,1,0,0,90
1,1,1,1,90
1,1,0,1,90
1,0,1,1,90
1,0,0,1,90
1,1,0,1,90
1,1,0,0,90
1,0,1,1,90
0,1,0,0,90
1,1,0,0,90
1,1,1,1,90
0,0,1,0,90
1,1,1,1,90
0,1,0,0,90
0,0,1,0,90
1,0,1,1,90
0,0,1,0,90
0,0,1,1,90
1,0,1,1,90
1,1,1,0,90
1,0,0,0,90
0,0,0,0,90
1,0,0,1,90
0,1,0,1,90
1,1,1,1,90
0,0,1,1,90
0,1,0,0,90
1,0,0,1,90
1,0,0,1,90
1,0,1,0,90
1,0,0,1,90
0,1,1,0,90
0,0,1,1,90
0,0,0,0,90
1,1,1,0,90
1,0,1,0,90
0,0,0,0,90
0,0,1,1,90
0,1,1,0,90
1,0,0,1,90
1,0,0,1,90
0,0,1,0,90
1,0,0,1,90
1,1,1,1,90
0,0,0,0,90
1,1,1,1,90
0,1,0,1,90
1,1,0,0,90
1,1,1,1,90
1,0,0,1,90
0,1,0,0,90
0,1,1,0,90
0,0,1,0,90
1,1,0,0,90
0,1,1,0,90
1,0,1,0,90
1,0,0,1,90
1,1,0,0,90
0,1,1,0,90
0,0,0,0,90
1,0,1,0,90
0,0,1,1,90
1,0,1,1,90
1,1,0,0,90
1,1,1,1,90
0,1,0,0,90
1,0,1,1,90
1,0,1,0,90
0,0,0,0,90
1,1,1,1,90
0,0,1,1,90
1,0,1,1,90
1,0,1,0,90
1,0,1,1,90
0,1,0,1,90
0,0,0,0,90
1,1,1,1,90
0,1,0,1,90
1,0,1,0,90
1,0,1,0,90
0,1,0,1,90
0,0,0,0,90
0,0,1,1,90
0,1,1,0,90
0,0,0,0,90
0,0,1,0,90
0,0,1,0,90
0,0,1,0,90
0,0,0,0,90
0,1,0,0,90
1,1,1,1,90
0,1,0,0,90
0,1,1,0,90
1,0,1,1,90
0,0,0,0,90
1,1,1,1,90
0,0,1,1,90
0,1,1,0,90
0,1,1,0,90
1,0,1,0,90
