qubit,predicted_qber_rf,Category
75,0.0313328643568114,Best
53,0.0316974930480614,Best
92,0.031925834440684,Best
110,0.0333034701800214,Best
3,0.0333500534645332,Best
94,0.0334678435960597,Best
114,0.0335461370957321,Best
95,0.0339073034975504,Best
54,0.0339612418163086,Best
35,0.0345136813787797,Best
26,0.2849561327967472,Worst
82,0.2849561327967472,Worst
12,0.2209326724845773,Worst
108,0.2201549600591598,Worst
130,0.213620584363366,Worst
29,0.192698586100987,Worst
74,0.181180554905279,Worst
61,0.1721284097305319,Worst
22,0.171147976676226,Worst
17,0.1696182748098719,Worst
